その他/鉱山
建物/駅名
建物/橋
建物/建物
建物/寺院
建物/神社
建物/鉄道
行政地名/その他（行政地名）
行政地名/郡
行政地名/市
行政地名/字
行政地名/村
行政地名/町
水部/その他（水部）
水部/河口
水部/河川・用水
水部/海・灘
水部/湖沼
水部/港
水部/湾・浦
地形/その他（地名）
地形/山・岳
地形/谷
地形/島
地形/峠
地形/浜
名所旧跡/その他（名所旧跡）
名所旧跡/滝
名所旧跡/墓地
名所旧跡/名所・名勝
